cntr_01 name RA Dec elliptical spiral photoz photozErr FUV NUV U G R I Z J H K W1 W2 W3 W4
73 1237645876864417854 343.623875598661 -0.897429346103984 0.173845 0.826155 0.062401 0.009552 -9999.0 -14.628740219335064 -19.6669 -20.5296 -20.8547 -20.9893 -21.1076 -20.308910219335065 -21.246910219335064 -21.917910219335063 -22.609910219335063 -23.100910219335063 -26.434910219335062 -29.00991021933506
74 1237645876864417855 343.623870505235 -0.897431200141352 0.156407 0.843593 0.062401 0.009552 -18.227720219335062 -18.58170021933506 -19.6669 -20.5296 -20.8547 -20.9893 -21.1076 -21.642910219335064 -22.283910219335063 -22.877910219335064 -23.976910219335064 -24.270910219335065 -28.222910219335063 -30.152910219335062
75 1237645876864417871 343.65781192394 -0.938602713700736 0.032936 0.967064 0.046522 0.013022 -17.565379834942178 -17.919359834942178 -18.7403 -19.8769 -20.3595 -20.5074 -20.6725 -20.98056983494218 -21.62156983494218 -22.21556983494218 -23.31456983494218 -23.60856983494218 -27.56056983494218 -29.49056983494218
76 1237645876864417872 343.65781192394 -0.938602713700736 0.032936 0.967064 0.046522 0.013022 -17.62123983494218 -18.05444983494218 -18.7403 -19.8769 -20.3595 -20.5074 -20.6725 -20.44156983494218 -20.81356983494218 -21.43256983494218 -22.56856983494218 -22.86156983494218 -27.097569834942178 -29.283569834942178
77 1237645876864417881 343.667033401379 -0.947139440231951 0.396633 0.603367 0.06827 0.019629 -15.396399919273298 -15.907779919273297 -18.504 -19.2108 -19.5962 -19.7002 -19.6611 -20.7450799192733 -21.5260799192733 -23.021079919273298 -22.8400799192733 -23.1720799192733 -26.5280799192733 -29.448079919273297
78 1237645876864417940 343.660210265638 -1.02626340416137 0.006678 0.993322 0.087785 0.016726 -17.67257770860467 -17.949187708604676 -19.0118 -20.4097 -20.9608 -21.292 -21.6009 -9999.0 -9999.0 -9999.0 -22.77234770860467 -23.169347708604672 -26.702347708604673 -29.209347708604675
79 1237645876864549035 343.980892029856 -0.883284702630856 0.163636 0.836364 0.080197 0.01409 -15.822464913870478 -16.635544913870476 -18.7635 -20.114 -20.8027 -21.0419 -21.4349 -9999.0 -9999.0 -9999.0 -21.700734913870477 -21.356734913870476 -25.445734913870474 -29.399734913870475
80 1237645876864614560 344.196486841224 -0.862076082529041 0.0 1.0 0.084625 0.022236 -16.52255777122909 -17.152587771229086 -19.3711 -20.5472 -21.1346 -21.3532 -21.6378 -21.259047771229092 -22.54204777122909 -23.08304777122909 -23.12104777122909 -23.55104777122909 -26.92304777122909 -29.700047771229087
81 1237645876864614561 344.196486841224 -0.862076082529041 0.0 1.0 0.084625 0.022236 -16.37880777122909 -16.98761777122909 -19.3711 -20.5472 -21.1346 -21.3532 -21.6378 -22.41404777122909 -23.070047771229092 -23.54604777122909 -24.31004777122909 -24.41404777122909 -27.27204777122909 -29.840047771229088
82 1237645876864614624 344.211649143848 -0.842488078164319 0.085518 0.914482 0.033976 0.014751 -14.318998458093493 -14.92780845809349 -17.0434 -17.9828 -18.4085 -18.496 -18.9084 -20.35423845809349 -21.010238458093493 -21.486238458093492 -22.25023845809349 -22.35423845809349 -25.212238458093495 -27.780238458093493
84 1237645876864745565 344.439117252029 -0.907111914641522 0.020521 0.979479 0.042256 0.011188 -14.691293720183449 -15.26445372018345 -18.3562 -19.5293 -19.9857 -20.1362 -20.268 -19.70599372018345 -20.33399372018345 -20.95299372018345 -22.05199372018345 -22.253993720183452 -26.270993720183448 -28.143993720183452
87 1237645876864876770 344.739112214702 -0.999477405443464 0.062208 0.937792 0.032588 0.010091 -15.82164167403524 -16.44339167403524 -17.7034 -18.695 -19.1803 -19.3363 -19.3172 -21.43744167403524 -22.02944167403524 -22.49044167403524 -23.35344167403524 -23.56644167403524 -26.22944167403524 -28.09644167403524
89 1237645876865269889 345.655091880096 -1.02019239473726 0.061549 0.938451 0.041084 0.014126 -18.38305022081186 -19.033330220811862 -18.9318 -20.1191 -20.6876 -20.856 -21.0379 -21.39606022081186 -22.05506022081186 -22.495060220811858 -24.17706022081186 -24.13206022081186 -27.50406022081186 -29.58106022081186
90 1237645876865269890 345.655091880096 -1.02019239473726 0.061549 0.938451 0.041084 0.014126 -18.38305022081186 -19.033330220811862 -18.9318 -20.1191 -20.6876 -20.856 -21.0379 -21.39606022081186 -22.05506022081186 -22.495060220811858 -24.17706022081186 -24.13206022081186 -27.50406022081186 -29.58106022081186
91 1237645876865269905 345.66769723338 -0.866502917215586 0.081067 0.918933 0.030892 0.006596 -13.596299535124626 -14.530329535124629 -18.838 -19.824 -20.2524 -20.414 -20.725 -9999.0 -9999.0 -9999.0 -20.631659535124626 -20.99665953512463 -23.89265953512463 -26.789659535124628
92 1237645876865270023 345.614367614115 -0.943078610108948 0.008594 0.991406 0.051506 0.018935 -15.906122788257399 -15.9794827882574 -18.0373 -18.9458 -19.3525 -19.4626 -19.6793 -20.8153727882574 -21.5153727882574 -22.087372788257397 -22.5633727882574 -22.669372788257398 -25.9113727882574 -29.0253727882574
93 1237645876865335426 345.827076934407 -0.857436754681483 0.066027 0.933973 0.042234 0.016083 -9999.0 -16.793838083630927 -18.2029 -19.7432 -20.3696 -20.7524 -21.0597 -20.89982808363093 -21.45182808363093 -21.92282808363093 -22.68582808363093 -22.830828083630927 -25.645828083630928 -27.845828083630927
94 1237645876865335570 345.847444609014 -0.880834859161892 0.011334 0.988666 0.076761 0.030504 -17.324519349026083 -17.62583934902608 -18.5088 -19.5023 -19.9401 -20.0602 -20.2925 -21.56848934902608 -21.98348934902608 -22.72148934902608 -23.60348934902608 -23.97848934902608 -26.799489349026082 -28.90148934902608
96 1237645876865532112 346.261660359634 -0.832667054051704 0.006544 0.993456 0.078706 0.028535 -17.50722834886839 -17.71842834886839 -18.7564 -20.1542 -20.8603 -21.1192 -21.5615 -9999.0 -9999.0 -9999.0 -22.782748348868388 -23.03474834886839 -26.80474834886839 -29.05474834886839
97 1237645876865532113 346.261660359634 -0.832667054051704 0.006544 0.993456 0.078706 0.028535 -17.35772834886839 -17.84077834886839 -18.7564 -20.1542 -20.8603 -21.1192 -21.5615 -9999.0 -9999.0 -9999.0 -22.93674834886839 -23.05974834886839 -26.90574834886839 -29.069748348868387
99 1237645876865663171 346.487970370323 -0.932758204492562 0.006871 0.993129 0.075462 0.026878 -17.411471140983682 -17.78828114098368 -17.8618 -18.8597 -19.2016 -19.3363 -19.3554 -9999.0 -9999.0 -9999.0 -23.01747114098368 -23.269471140983683 -26.76747114098368 -28.778471140983683
100 1237645876865663218 346.593943524358 -0.821988743009707 0.004165 0.995835 0.064149 0.020657 -12.885363800185761 -9999.0 -18.2618 -19.4049 -19.8243 -20.0018 -20.1879 -21.332583800185763 -22.202583800185764 -22.73158380018576 -23.442583800185762 -23.789583800185763 -27.42958380018576 -28.946583800185763
101 1237645876865859663 346.93210858173 -0.838470797578661 0.053353 0.946647 0.032682 0.006975 -11.37162702859547 -9999.0 -18.4654 -19.5583 -19.9237 -20.061 -20.2267 -19.81884702859547 -20.688847028595468 -21.21784702859547 -21.92884702859547 -22.27584702859547 -25.915847028595472 -27.432847028595468
102 1237645876865859664 346.93210858173 -0.838470797578661 0.053353 0.946647 0.032682 0.006975 -15.28160702859547 -15.71734702859547 -18.4654 -19.5583 -19.9237 -20.061 -20.2267 -19.09084702859547 -19.83984702859547 -20.75884702859547 -21.13384702859547 -21.20184702859547 -24.60684702859547 -26.84384702859547
106 1237645876865990690 347.287819656001 -0.871709625583604 0.019888 0.980112 0.022336 0.00565 -14.644962275975669 -15.364972275975667 -18.3163 -19.2818 -19.7819 -20.0226 -20.1562 -9999.0 -9999.0 -9999.0 -20.160612275975666 -20.380612275975665 -23.713612275975667 -26.584612275975665
107 1237645876865990711 347.307245197553 -0.942789290561979 0.073604 0.926396 0.02277 0.00764 -9999.0 -13.650366845429962 -18.6131 -19.4424 -19.8714 -20.0482 -20.1727 -18.832106845429962 -19.746106845429964 -20.716106845429962 -21.543106845429964 -21.86910684542996 -25.144106845429963 -26.727106845429965
108 1237645876865990789 347.325458439102 -0.929149836322361 0.269177 0.730823 0.018914 0.022762 -14.434446432828606 -14.823106432828604 -16.6346 -17.3456 -17.6133 -17.6731 -17.6734 -9999.0 -9999.0 -9999.0 -19.393916432828604 -19.630916432828606 -22.572916432828606 -25.929916432828605
111 1237645876866252945 347.893643175389 -1.01189099326113 0.208948 0.791052 0.096744 0.020014 -17.419254167703066 -18.06995416770306 -18.916 -20.2831 -21.0456 -21.3795 -21.7538 -22.89255416770306 -23.603554167703063 -24.00855416770306 -24.53255416770306 -24.62455416770306 -27.961554167703063 -30.257554167703063
112 1237645876866646263 348.828865925777 -0.989344835613284 0.340878 0.659122 0.02758 0.00963 -14.572832238187939 -15.385712238187939 -16.974 -17.5732 -17.8667 -17.9449 -17.9206 -20.06106223818794 -20.772062238187942 -21.17706223818794 -21.70106223818794 -21.79306223818794 -25.13006223818794 -27.42606223818794
113 1237645876866646264 348.828865911221 -0.989341988382203 0.384431 0.615569 0.02758 0.00963 -14.572832238187939 -15.385712238187939 -16.974 -17.5732 -17.8667 -17.9449 -17.9206 -20.06106223818794 -20.772062238187942 -21.17706223818794 -21.70106223818794 -21.79306223818794 -25.13006223818794 -27.42606223818794
115 1237645876866711758 349.007990162761 -1.01406212409914 0.046337 0.953663 0.099586 0.014258 -18.36410401839143 -18.452484018391427 -20.1452 -21.6863 -22.4087 -22.7898 -23.1001 -9999.0 -9999.0 -9999.0 -23.249574018391428 -23.56257401839143 -26.594574018391427 -29.95257401839143
116 1237645876866711759 349.00800054083 -1.0140671744599 0.057216 0.942784 0.099586 0.014258 -18.08485401839143 -9999.0 -20.1452 -21.6863 -22.4087 -22.7898 -23.1001 -22.237574018391427 -22.83357401839143 -23.30657401839143 -23.94557401839143 -24.02657401839143 -26.92457401839143 -30.44657401839143
117 1237645876866711842 348.92850437975 -0.94941332712454 0.04566 0.95434 0.059025 0.015341 -16.8882136748267 -9999.0 -18.0976 -19.1028 -19.5346 -19.6225 -19.8021 -21.040933674826704 -21.636933674826704 -22.109933674826703 -22.748933674826702 -22.829933674826705 -25.7279336748267 -29.249933674826703
120 1237645876866908388 349.444624021813 -0.848632733927024 0.069834 0.930166 0.084295 0.014937 -15.823282255274012 -17.184182255274013 -19.7388 -21.05 -21.6282 -21.8726 -22.1051 -21.68707225527401 -22.329072255274014 -22.843072255274013 -23.771072255274014 -24.035072255274013 -26.61407225527401 -29.133072255274012
121 1237645876866908389 349.444622960667 -0.848631377920198 0.064283 0.935717 0.084295 0.014937 -18.62587225527401 -19.149862255274012 -19.7388 -21.05 -21.6282 -21.8726 -22.1051 -22.136072255274012 -22.67207225527401 -23.296072255274012 -24.143072255274014 -24.317072255274013 -27.503072255274013 -29.68207225527401
128 1237645876867235949 350.149049335204 -0.882561406259712 0.42094 0.57906 0.045592 0.038386 -15.65478839625845 -16.06606839625845 -16.1743 -17.7664 -18.0709 -18.3531 -17.4473 -20.47025839625845 -21.10925839625845 -21.45125839625845 -22.47025839625845 -22.59825839625845 -25.60825839625845 -28.23125839625845
129 1237645876867367014 350.440058594601 -0.90600759372214 0.312294 0.687706 0.069563 0.014364 -17.083289700928866 -17.12817970092886 -19.2626 -20.5729 -21.1273 -21.3065 -21.5228 -9999.0 -9999.0 -9999.0 -21.03778970092886 -20.97178970092886 -25.21778970092886 -28.83078970092886
