Name,T90,Flnc,Flnc_err,Pflux1024,Pflux1024_err,Pflux64,Pflux64_err,PfluxBand,PfluxBand_err,Norm,Epk,alpha,alpha_perr,alpha_nerr,beta,W
GRB081122614,0.192,1.3901e-7,7.9485e-9,1.7011,0.2029,9.2089,1.4316,1.075296e-6,2.901733e-7,0.05512713,176.5214,-0.6198646,0.496764,0.496764,-8.262627,0.89
GRB081124060,19.456,8.5897e-6,7.9771e-8,19.7831,0.2499,21.6558,1.1951,9.105219e-7,4.25249e-8,0.1188093,12.2356,-1.538464,0.5037419,0.5037419,-2.738304,1.70
GRB081125496,9.28,0.000018544,1.3285e-7,23.2499,0.435,27.5619,1.9093,4.647386e-6,1.667789e-7,0.1743237,248.7512,-0.2187865,0.07562552,0.07562552,-5.940285,0.78
GRB081126899,54.145,0.000011449,6.6615e-8,6.4959,0.1919,7.7665,0.8146,1.375755e-6,7.331351e-8,0.03182744,293.157,-0.5060318,0.1456539,0.1456539,-2.176168,2.23
GRB081129161,62.657,0.000016194,1.4679e-7,14.2978,0.3125,19.5814,1.3798,2.662964e-6,1.029463e-7,0.07685948,247.7874,-0.3178276,0.1374063,0.1374063,-2.082439,4.13
GRB081130629,45.569,3.2154e-6,5.5529e-8,4.3699,0.1888,6.1697,0.8483,4.478469e-7,8.769511e-8,0.02097266,149.7775,-0.88182,0.2302356,0.2302356,-2.978251,1.05
GRB081204004,7.424,1.0188e-6,5.3861e-8,3.0146,0.1466,4.9981,0.659,5.681112e-7,9.359606e-8,0.0135296,301.4156,-0.7693828,0.2041051,0.2041051,-13.5953,0.95
GRB081204517,0.192,3.1105e-7,1.7439e-8,1.9742,0.1274,10.9137,0.8301,2.832515e-6,5.745595e-7,0.05560578,363.4103,-0.436075,0.2786354,0.2786354,-11.62839,0.84
GRB081206604,7.936,4.9971e-7,3.6592e-8,1.9015,0.2087,3.0155,1.0568,2.060062e-7,4.977689e-8,0.002789143,1211.59,-1.707888,0.2284238,0.2284238,-3.40472,2.15
GRB081209981,0.192,1.4655e-6,1.4879e-8,4.284,0.2162,25.4296,1.214,0.00001150851,8.139776e-7,0.07855521,758.3737,-0.1958747,0.1882848,0.1882848,-2.704034,0.95
GRB081215784,5.568,0.000054666,5.8683e-8,64.9065,0.3881,148.466,2.1323,0.00002301917,2.424964e-7,0.2011101,752.5197,-0.5340728,0.01929967,0.01929967,-2.364793,1.38
GRB081215880,7.68,1.7803e-6,3.5754e-8,4.5642,0.4206,7.0857,2.3293,3.476192e-7,7.334919e-8,0.03628758,100.4605,-0.4594199,0.7502871,0.7502871,-2.411443,1.27
GRB081216531,0.768,2.9851e-6,7.7392e-8,8.9234,0.2061,38.222,1.2743,0.000018227,8.950898e-7,0.09187906,1402.423,-0.4327626,0.0857339,0.0857339,-3.707827,0.84
GRB081221681,29.697,0.000030037,8.6881e-8,25.4289,0.3255,27.4808,1.3607,2.468543e-6,9.024168e-8,0.3052269,115.6503,-0.3420984,0.07409413,0.07409413,-3.885949,0.81
GRB081222204,18.88,0.000011887,9.5653e-8,12.763,0.2346,14.5046,1.0016,1.66787e-6,8.825765e-8,0.07330702,167.4924,-0.7350503,0.09339649,0.09339649,-2.589271,1.15
